"Nome do arquivo","Tipo de arquivo","Disciplina","Assunto","Tópicos do edital atendidos","Situação","Nível de cobertura","Atualização necessária","Problemas encontrados","Ação recomendada","Prioridade"
"storage/content/leis/cpp/artigos.json","JSON de conteúdo/questões","Direito Processual Penal","artigos","Conhecimentos Específicos > Direito Processual Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/cpp/meta.json","JSON de conteúdo/questões","Direito Processual Penal","meta","Conhecimentos Específicos > Direito Processual Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/cpp/texto.txt","lei seca/texto","Direito Processual Penal","texto","Conhecimentos Específicos > Direito Processual Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/apostilas/direito-processual-penal-militar-avancado.js","apostila/módulo JS","Direito Processual Penal Militar","Direito Processual Penal Militar Avançado","Conhecimentos Específicos > Direito Processual Penal Militar","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direito-processual-penal-militar.js","apostila/módulo JS","Direito Processual Penal Militar","Direito Processual Penal Militar para PMMA","Conhecimentos Específicos > Direito Processual Penal Militar","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direitos-humanos-atividade-policial-casos-praticos.js","apostila/módulo JS","Direitos Humanos","Direitos Humanos na Atividade Policial — Casos Práticos","Conhecimentos Específicos > Direitos Humanos","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direitos-humanos-avancado.js","apostila/módulo JS","Direitos Humanos","Direitos Humanos Avançado 10/10 Reescrito de Verdade","Conhecimentos Específicos > Direitos Humanos","pronto para entrar na plataforma","alto","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"src/data/apostilas/direitos-humanos.js","apostila/módulo JS","Direitos Humanos","Direitos Humanos para PMMA","Conhecimentos Específicos > Direitos Humanos","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/etica.js","apostila/módulo JS","Direitos Humanos","Ética para PMMA","Conhecimentos Específicos > Direitos Humanos","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/uso-diferenciado-da-forca-atuacao-policial.js","apostila/módulo JS","Direitos Humanos","Uso Diferenciado da Força e Atuação Policial","Conhecimentos Específicos > Direitos Humanos","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/eca.js","apostila/módulo JS","História e Geografia","ECA — Estatuto da Criança e do Adolescente","Conhecimentos Gerais > História e Geografia","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/geografia-enem.js","apostila/módulo JS","História e Geografia","Geografia ENEM","Conhecimentos Gerais > História e Geografia","fora do edital","alto","Conferir texto vigente/edital 2026","fora do edital PMMA provável | precisa atualização/verificação legislativa","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"src/data/apostilas/historia-enem.js","apostila/módulo JS","História e Geografia","História ENEM","Conhecimentos Gerais > História e Geografia","fora do edital","alto","Conferir texto vigente/edital 2026","fora do edital PMMA provável | precisa atualização/verificação legislativa","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/militar/pmam-oficial-2021-fgv/questoes/questoes-extraidas.json","JSON de conteúdo/questões","História e Geografia","questoes-extraidas","Conhecimentos Gerais > História e Geografia","pronto para entrar na plataforma","médio","Não identificada","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"storage/content/militar/pmam-soldado-2021-fgv/questoes/questoes-extraidas.json","JSON de conteúdo/questões","História e Geografia","questoes-extraidas","Conhecimentos Gerais > História e Geografia","pronto para entrar na plataforma","médio","Não identificada","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"src/data/apostilas/informatica-avancada.js","apostila/módulo JS","Informática","Informática Avançada 10/10 Reescrita de Verdade","Conhecimentos Gerais > Informática","pronto para entrar na plataforma","alto","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"src/data/apostilas/informatica.js","apostila/módulo JS","Informática","Informática para PMMA","Conhecimentos Gerais > Informática","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/mockBiblioteca.js","apostila/módulo JS","Informática","mockBiblioteca","Conhecimentos Gerais > Informática","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/mockMapas.js","apostila/módulo JS","Informática","mockMapas","Conhecimentos Gerais > Informática","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/provas/cbmal-soldado-combatente-2018-cebraspe-prova.pdf","PDF","Informática","cbmal-soldado-combatente-2018-cebraspe-prova","Conhecimentos Gerais > Informática","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/provas/pmal-soldado-combatente-2018-cebraspe-prova.pdf","PDF","Informática","pmal-soldado-combatente-2018-cebraspe-prova","Conhecimentos Gerais > Informática","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/apostilas/legislacao-institucional-pmma-avancada.js","apostila/módulo JS","Legislação Institucional PMMA","Legislação Institucional PMMA Avançada","Conhecimentos Específicos > Legislação Institucional PMMA","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa | legislação estadual sensível a atualização","Conferir texto vigente e atualizar antes de publicar.","Urgente"
"src/data/apostilas/legislacao-institucional-pmma-simulados-comentados.js","apostila/módulo JS","Legislação Institucional PMMA","Legislação Institucional PMMA — Simulados Comentados","Conhecimentos Específicos > Legislação Institucional PMMA","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Urgente"
"src/data/apostilas/legislacao-institucional-pmma.js","apostila/módulo JS","Legislação Institucional PMMA","Legislação Institucional da PMMA","Conhecimentos Específicos > Legislação Institucional PMMA","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa | legislação estadual sensível a atualização","Conferir texto vigente e atualizar antes de publicar.","Urgente"
"src/data/apostilas/legislacao-pmma-questoes-por-artigo.js","apostila/módulo JS","Legislação Institucional PMMA","Legislação PMMA — Questões por Artigo","Conhecimentos Específicos > Legislação Institucional PMMA","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Urgente"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/gabaritos/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-gabarito-definitivo.pdf","PDF","Legislação Institucional PMMA","pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-gabarito-definitivo","Conhecimentos Específicos > Legislação Institucional PMMA","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/metadata.json","JSON de conteúdo/questões","Legislação Institucional PMMA","Prova oficial","Conhecimentos Específicos > Legislação Institucional PMMA","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/provas/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-prova.pdf","PDF","Legislação Institucional PMMA","pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-prova","Conhecimentos Específicos > Legislação Institucional PMMA","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/questoes/questoes-extraidas.json","JSON de conteúdo/questões","Legislação Institucional PMMA","questoes-extraidas","Conhecimentos Específicos > Legislação Institucional PMMA","pronto para entrar na plataforma","médio","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"src/data/apostilas/legislacao-penal-especial-avancada.js","apostila/módulo JS","Legislação Penal Especial","Legislação Penal Especial Avançada","Conhecimentos Específicos > Legislação Penal Especial","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Urgente"
"src/data/apostilas/legislacao-penal-especial.js","apostila/módulo JS","Legislação Penal Especial","Legislação Penal Especial para PMMA","Conhecimentos Específicos > Legislação Penal Especial","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Urgente"
"material-provas/fgv/provas PM/aluno_oficial_da_pmns101_tipo_1.pdf","PDF","Língua Portuguesa","aluno_oficial_da_pmns101_tipo_1","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/aluno_oficial_da_pmns101_tipo_2.pdf","PDF","Língua Portuguesa","aluno_oficial_da_pmns101_tipo_2","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/aluno_oficial_da_pmns101_tipo_3.pdf","PDF","Língua Portuguesa","aluno_oficial_da_pmns101_tipo_3","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/aluno_oficial_da_pmns101_tipo_4.pdf","PDF","Língua Portuguesa","aluno_oficial_da_pmns101_tipo_4","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/aluno_soldado_da_pmnm001_tipo_1.pdf","PDF","Língua Portuguesa","aluno_soldado_da_pmnm001_tipo_1","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/aluno_soldado_da_pmnm001_tipo_2.pdf","PDF","Língua Portuguesa","aluno_soldado_da_pmnm001_tipo_2","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/aluno_soldado_da_pmnm001_tipo_3.pdf","PDF","Língua Portuguesa","aluno_soldado_da_pmnm001_tipo_3","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/aluno_soldado_da_pmnm001_tipo_4.pdf","PDF","Língua Portuguesa","aluno_soldado_da_pmnm001_tipo_4","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/anexo-sem-titulo-00306-4.pdf","PDF","Língua Portuguesa","anexo-sem-titulo-00306-4","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/anexo-sem-titulo-00312-1.pdf","PDF","Língua Portuguesa","anexo-sem-titulo-00312-1","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/anexo-sem-titulo-00318-2.pdf","PDF","Língua Portuguesa","anexo-sem-titulo-00318-2","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/anexo-sem-titulo-00324-3.pdf","PDF","Língua Portuguesa","anexo-sem-titulo-00324-3","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/cabo-pmcnm001-tipo-1.pdf","PDF","Língua Portuguesa","cabo-pmcnm001-tipo-1","Conhecimentos Gerais > Língua Portuguesa","duplicado","baixo","Validar aderência quando o edital oficial for anexado","duplicado | duplicatas: storage/content/militar/pmsp-cabo-pm-2022-fgv/provas/pmsp-cabo-pm-2022-fgv-prova.pdf","Manter a versão mais completa/recente e remover ou ocultar duplicata.","Média"
"material-provas/fgv/provas PM/cabo-pmcnm001-tipo-2.pdf","PDF","Língua Portuguesa","cabo-pmcnm001-tipo-2","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/cabo-pmcnm001-tipo-3.pdf","PDF","Língua Portuguesa","cabo-pmcnm001-tipo-3","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/cabo-pmcnm001-tipo-4.pdf","PDF","Língua Portuguesa","cabo-pmcnm001-tipo-4","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/cns101-aluno-oficial-combatentecns101-tipo-1.pdf","PDF","Língua Portuguesa","cns101-aluno-oficial-combatentecns101-tipo-1","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/cns101-aluno-oficial-combatentecns101-tipo-2.pdf","PDF","Língua Portuguesa","cns101-aluno-oficial-combatentecns101-tipo-2","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/delegado-objetivacns100-tipo-1.pdf","PDF","Língua Portuguesa","delegado-objetivacns100-tipo-1","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/delegado-objetivacns100-tipo-2.pdf","PDF","Língua Portuguesa","delegado-objetivacns100-tipo-2","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/delegado-objetivacns100-tipo-3.pdf","PDF","Língua Portuguesa","delegado-objetivacns100-tipo-3","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/delegado-objetivacns100-tipo-4.pdf","PDF","Língua Portuguesa","delegado-objetivacns100-tipo-4","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/inspetor_de_policia_de_6a_classeinspetor_tipo_1_revisada.pdf","PDF","Língua Portuguesa","inspetor_de_policia_de_6a_classeinspetor_tipo_1_revisada","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/inspetor_de_policia_de_6a_classeinspetor_tipo_2_revisada.pdf","PDF","Língua Portuguesa","inspetor_de_policia_de_6a_classeinspetor_tipo_2_revisada","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/inspetor_de_policia_de_6a_classeinspetor_tipo_3_revisada.pdf","PDF","Língua Portuguesa","inspetor_de_policia_de_6a_classeinspetor_tipo_3_revisada","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/inspetor_de_policia_de_6a_classeinspetor_tipo_4_revisada.pdf","PDF","Língua Portuguesa","inspetor_de_policia_de_6a_classeinspetor_tipo_4_revisada","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/investigador_policial_de_3a_classeinvest_tipo_1_revisada.pdf","PDF","Língua Portuguesa","investigador_policial_de_3a_classeinvest_tipo_1_revisada","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/investigador_policial_de_3a_classeinvest_tipo_2_revisada.pdf","PDF","Língua Portuguesa","investigador_policial_de_3a_classeinvest_tipo_2_revisada","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/investigador_policial_de_3a_classeinvest_tipo_3_revisada.pdf","PDF","Língua Portuguesa","investigador_policial_de_3a_classeinvest_tipo_3_revisada","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/investigador_policial_de_3a_classeinvest_tipo_4_revisada.pdf","PDF","Língua Portuguesa","investigador_policial_de_3a_classeinvest_tipo_4_revisada","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pm-sargentocnm001-tipo-1.pdf","PDF","Língua Portuguesa","pm-sargentocnm001-tipo-1","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pm-sargentocnm001-tipo-2.pdf","PDF","Língua Portuguesa","pm-sargentocnm001-tipo-2","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pm-sargentocnm001-tipo-3.pdf","PDF","Língua Portuguesa","pm-sargentocnm001-tipo-3","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pm-sargentocnm001-tipo-4.pdf","PDF","Língua Portuguesa","pm-sargentocnm001-tipo-4","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/soldado_pm_de_2a_classe_do_quadro_de_pracas_de_policia_militar_qppmcnm001_tipo_1.pdf","PDF","Língua Portuguesa","soldado_pm_de_2a_classe_do_quadro_de_pracas_de_policia_militar_qppmcnm001_tipo_1","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/soldado_pm_de_2a_classe_do_quadro_de_pracas_de_policia_militar_qppmcnm001_tipo_2.pdf","PDF","Língua Portuguesa","soldado_pm_de_2a_classe_do_quadro_de_pracas_de_policia_militar_qppmcnm001_tipo_2","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/soldado_pm_de_2a_classe_do_quadro_de_pracas_de_policia_militar_qppmcnm001_tipo_3.pdf","PDF","Língua Portuguesa","soldado_pm_de_2a_classe_do_quadro_de_pracas_de_policia_militar_qppmcnm001_tipo_3","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/soldado_pm_de_2a_classe_do_quadro_de_pracas_de_policia_militar_qppmcnm001_tipo_4.pdf","PDF","Língua Portuguesa","soldado_pm_de_2a_classe_do_quadro_de_pracas_de_policia_militar_qppmcnm001_tipo_4","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/apostilas/index.js","apostila/módulo JS","Língua Portuguesa","index","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/apostilas/linguagens-enem.js","apostila/módulo JS","Língua Portuguesa","Linguagens ENEM","Conhecimentos Gerais > Língua Portuguesa","fora do edital","alto","Conferir texto vigente/edital 2026","fora do edital PMMA provável | precisa atualização/verificação legislativa","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"src/data/apostilas/mapas-mentais-textuais-disciplina.js","apostila/módulo JS","Língua Portuguesa","Mapas Mentais Textuais por Disciplina","Conhecimentos Gerais > Língua Portuguesa","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/pmma-simulado-final-completo.js","apostila/módulo JS","Língua Portuguesa","PMMA — Simulado Final Completo","Conhecimentos Gerais > Língua Portuguesa","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/portugues-avancado.js","apostila/módulo JS","Língua Portuguesa","Português Avançado 10/10 Reescrito de Verdade","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","alto","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"src/data/apostilas/portugues-pmma-interpretacao.js","apostila/módulo JS","Língua Portuguesa","Português para PMMA — Interpretação de Textos","Conhecimentos Gerais > Língua Portuguesa","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/portugues-pmma-ortografia-morfologia.js","apostila/módulo JS","Língua Portuguesa","Português para PMMA — Ortografia e Morfologia","Conhecimentos Gerais > Língua Portuguesa","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/portugues-pmma-sintaxe.js","apostila/módulo JS","Língua Portuguesa","Português para PMMA — Sintaxe","Conhecimentos Gerais > Língua Portuguesa","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/README.md","documentação","Língua Portuguesa","README","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/codigo-etica-oab/texto.txt","lei seca/texto","Língua Portuguesa","texto","Conhecimentos Gerais > Língua Portuguesa","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/cpc/texto.txt","lei seca/texto","Língua Portuguesa","texto","Conhecimentos Gerais > Língua Portuguesa","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/provas/cbmam-soldado-bombeiro-militar-2021-fgv-prova.pdf","PDF","Língua Portuguesa","cbmam-soldado-bombeiro-militar-2021-fgv-prova","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/militar/pcrj-investigador-2021-fgv/questoes/questoes-extraidas.json","JSON de conteúdo/questões","Língua Portuguesa","questoes-extraidas","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","médio","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"storage/content/militar/pcsc-delegado-2024-fgv/questoes/questoes-extraidas.json","JSON de conteúdo/questões","Língua Portuguesa","questoes-extraidas","Conhecimentos Gerais > Língua Portuguesa","pronto para entrar na plataforma","médio","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
